name,layer_type,batch_input_shape,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,bias_regularizer,bias_initializer,kernel_initializer,kernel_constraint,activity_regularizer,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse
input_1,InputLayer,"(?, 224, 224, 3)",,,,,,,,float32,,,,,,,,,,,,False
block1_conv1,Conv2D,"(?, 224, 224, 64)",64,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block1_conv2,Conv2D,"(?, 224, 224, 64)",64,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block1_pool,MaxPooling2D,"(?, 112, 112, 64)",,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,channels_last,,,
block2_conv1,Conv2D,"(?, 112, 112, 128)",128,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block2_conv2,Conv2D,"(?, 112, 112, 128)",128,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block2_pool,MaxPooling2D,"(?, 56, 56, 128)",,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,channels_last,,,
block3_conv1,Conv2D,"(?, 56, 56, 256)",256,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block3_conv2,Conv2D,"(?, 56, 56, 256)",256,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block3_conv3,Conv2D,"(?, 56, 56, 256)",256,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
block3_pool,MaxPooling2D,"(?, 28, 28, 256)",,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,channels_last,,,
block4_conv1,Conv2D,"(?, 28, 28, 512)",512,"(3, 3)",relu,same,"(1, 1)",,,,True,True,,"{'class_name': 'Zeros', 'config': {}}","{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,channels_last,"(1, 1)",,
